// PV cible d'un monstre ordinaire
      76,     78,     87,    102,    102,    109,    113,    131,    135,    184,  // 1–10
     184,    188,    212,    216,    233,    271,    271,    271,    289,    289,  // 11–20
     289,    289,    314,    314,    314,    314,    314,    320,    335,    384,  // 21–30
     398,    398,    398,    403,    440,    440,    440,    440,    440,    440,  // 31–40
     440,    448,    454,    454,    454,    492,    526,    526,    526,    526,  // 41–50
     570,    570,    570,    572,    610,    635,    635,    635,    635,    635,  // 51–60
     635,    694,    699,    699,    710,    767,    779,    787,    798,    851,  // 61–70
     862,    862,    862,   1027,   1040,   1040,   1040,   1040,   1040,   1040,  // 71–80
    1051,   1067,   1079,   1079,   1079,   1230,   1251,   1251,   1251,   1266,  // 81–90
    1279,   1294,   1307,   1377,   1390,   1390,   1390,   1595,   1617,   1617,  // 91–100

// ATK cible d'un monstre ordinaire
     1.9,    2.1,    3.0,    3.2,    4.0,    4.0,    4.2,    5.2,    5.2,    5.7,  // 1–10
     5.7,    6.6,    6.6,    8.5,    8.5,    8.5,    9.1,    9.1,    9.1,    9.8,  // 11–20
    10.0,   10.0,   10.0,   11.5,   12.6,   13.5,   13.5,   13.5,   13.5,   13.5,  // 21–30
    13.5,   13.5,   13.5,   13.5,   13.5,   16.1,   18.0,   19.1,   19.1,   19.6,  // 31–40
    21.2,   21.2,   21.2,   23.8,   23.8,   23.8,   23.8,   23.8,   23.8,   23.8,  // 41–50
    23.8,   23.8,   23.8,   23.8,   23.8,   23.8,   23.8,   23.8,   23.8,   23.8,  // 51–60
    23.8,   24.4,   24.9,   24.9,   24.9,   24.9,   24.9,   27.6,   27.9,   27.9,  // 61–70
    27.9,   27.9,   27.9,   31.5,   31.8,   31.8,   31.8,   31.8,   31.8,   33.7,  // 71–80
    34.2,   34.2,   34.2,   34.2,   34.2,   37.9,   38.2,   38.2,   38.2,   38.2,  // 81–90
    38.2,   41.4,   41.9,   41.9,   41.9,   41.9,   41.9,   48.4,   48.7,   48.7,  // 91–100

// PV cible d'un boss
     405,    414,    462,    545,    545,    584,    600,    699,    722,    982,  // 1–10
     982,   1004,   1129,   1153,   1244,   1446,   1446,   1446,   1542,   1542,  // 11–20
    1542,   1542,   1674,   1674,   1674,   1674,   1674,   1707,   1785,   2049,  // 21–30
    2121,   2121,   2121,   2150,   2345,   2345,   2345,   2345,   2345,   2345,  // 31–40
    2345,   2388,   2420,   2420,   2420,   2624,   2806,   2806,   2806,   2806,  // 41–50
    3040,   3040,   3040,   3048,   3253,   3389,   3389,   3389,   3389,   3389,  // 51–60
    3389,   3701,   3731,   3731,   3787,   4091,   4153,   4197,   4255,   4536,  // 61–70
    4595,   4595,   4595,   5478,   5547,   5547,   5547,   5547,   5547,   5547,  // 71–80
    5608,   5690,   5753,   5753,   5753,   6559,   6670,   6670,   6670,   6752,  // 81–90
    6822,   6903,   6972,   7343,   7415,   7415,   7415,   8506,   8622,   8622,  // 91–100

// ATK cible d'un boss
     4.2,    4.7,    6.8,    7.3,    9.0,    9.0,    9.4,   11.6,   11.6,   12.8,  // 1–10
    12.8,   14.9,   14.9,   19.1,   19.1,   19.1,   20.4,   20.4,   20.4,   22.0,  // 11–20
    22.6,   22.6,   22.6,   26.0,   28.4,   30.3,   30.3,   30.3,   30.3,   30.3,  // 21–30
    30.3,   30.3,   30.3,   30.3,   30.3,   36.2,   40.5,   43.0,   43.0,   44.0,  // 31–40
    47.8,   47.8,   47.8,   53.7,   53.7,   53.7,   53.7,   53.7,   53.7,   53.7,  // 41–50
    53.7,   53.7,   53.7,   53.7,   53.7,   53.7,   53.7,   53.7,   53.7,   53.7,  // 51–60
    53.7,   55.0,   56.0,   56.0,   56.0,   56.0,   56.0,   62.1,   62.7,   62.7,  // 61–70
    62.7,   62.7,   62.7,   70.8,   71.5,   71.5,   71.5,   71.5,   71.5,   75.9,  // 71–80
    77.0,   77.0,   77.0,   77.0,   77.0,   85.2,   86.0,   86.0,   86.0,   86.0,  // 81–90
    86.0,   93.2,   94.3,   94.3,   94.3,   94.3,   94.3,  108.8,  109.7,  109.7,  // 91–100
